	dims=50 task=age kernel=rbf gamma=0.0001 C=0.0001	dims=50 task=age kernel=rbf gamma=0.0001 C=0.001	dims=50 task=age kernel=rbf gamma=0.0001 C=1	dims=50 task=age kernel=rbf gamma=0.0001 C=1000.0	dims=50 task=age kernel=rbf gamma=0.0001 C=10000.0	dims=50 task=age kernel=rbf gamma=0.0001 C=100000.0	dims=50 task=age kernel=rbf gamma=0.0001 C=1e-05	dims=50 task=age kernel=rbf gamma=0.001 C=0.0001	dims=50 task=age kernel=rbf gamma=0.001 C=0.001	dims=50 task=age kernel=rbf gamma=0.001 C=1	dims=50 task=age kernel=rbf gamma=0.001 C=1000.0	dims=50 task=age kernel=rbf gamma=0.001 C=10000.0	dims=50 task=age kernel=rbf gamma=0.001 C=100000.0	dims=50 task=age kernel=rbf gamma=0.001 C=1e-05	dims=50 task=age kernel=rbf gamma=1 C=0.0001	dims=50 task=age kernel=rbf gamma=1 C=0.001	dims=50 task=age kernel=rbf gamma=1 C=1	dims=50 task=age kernel=rbf gamma=1 C=1000.0	dims=50 task=age kernel=rbf gamma=1 C=10000.0	dims=50 task=age kernel=rbf gamma=1 C=100000.0	dims=50 task=age kernel=rbf gamma=1 C=1e-05	dims=50 task=age kernel=rbf gamma=1000.0 C=0.0001	dims=50 task=age kernel=rbf gamma=1000.0 C=0.001	dims=50 task=age kernel=rbf gamma=1000.0 C=1	dims=50 task=age kernel=rbf gamma=1000.0 C=1000.0	dims=50 task=age kernel=rbf gamma=1000.0 C=10000.0	dims=50 task=age kernel=rbf gamma=1000.0 C=100000.0	dims=50 task=age kernel=rbf gamma=1000.0 C=1e-05	dims=50 task=age kernel=rbf gamma=10000.0 C=0.0001	dims=50 task=age kernel=rbf gamma=10000.0 C=0.001	dims=50 task=age kernel=rbf gamma=10000.0 C=1	dims=50 task=age kernel=rbf gamma=10000.0 C=1000.0	dims=50 task=age kernel=rbf gamma=10000.0 C=10000.0	dims=50 task=age kernel=rbf gamma=10000.0 C=100000.0	dims=50 task=age kernel=rbf gamma=10000.0 C=1e-05	dims=50 task=age kernel=rbf gamma=100000.0 C=0.0001	dims=50 task=age kernel=rbf gamma=100000.0 C=0.001	dims=50 task=age kernel=rbf gamma=100000.0 C=1	dims=50 task=age kernel=rbf gamma=100000.0 C=1000.0	dims=50 task=age kernel=rbf gamma=100000.0 C=10000.0	dims=50 task=age kernel=rbf gamma=100000.0 C=100000.0	dims=50 task=age kernel=rbf gamma=100000.0 C=1e-05	dims=50 task=age kernel=rbf gamma=1e-05 C=0.0001	dims=50 task=age kernel=rbf gamma=1e-05 C=0.001	dims=50 task=age kernel=rbf gamma=1e-05 C=1	dims=50 task=age kernel=rbf gamma=1e-05 C=1000.0	dims=50 task=age kernel=rbf gamma=1e-05 C=10000.0	dims=50 task=age kernel=rbf gamma=1e-05 C=100000.0	dims=50 task=age kernel=rbf gamma=1e-05 C=1e-05
dims=50 task=age kernel=rbf gamma=1 C=100000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231		0.0312090127717	0.0312090127717	0.0312090127717	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=1 C=1e-05						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1000.0 C=0.0001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1000.0 C=0.001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1000.0 C=1	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.0412500165939	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.0257480808211		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=1000.0 C=1000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.0113296966845	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00650170237308		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=1000.0 C=10000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.0113296966845	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00650170237308		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=1000.0 C=100000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.0113296966845	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00650170237308		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=1000.0 C=1e-05						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=10000.0 C=0.0001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=10000.0 C=0.001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=10000.0 C=1	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129		0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129			0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129				0.0019397281129	0.0019397281129	0.0019397281129					0.0019397281129	0.0019397281129	0.0019397281129					0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129
dims=50 task=age kernel=rbf gamma=10000.0 C=1000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00650170237308	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00361051431233		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.0312090127717	0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=10000.0 C=10000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00650170237308	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00361051431233		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.0312090127717	0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=10000.0 C=100000.0	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00650170237308	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.00361051431233		0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.0312090127717	0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231
dims=50 task=age kernel=rbf gamma=10000.0 C=1e-05						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=0.0001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=0.001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=1						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=1000.0						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=10000.0						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=100000.0						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=100000.0 C=1e-05						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=0.0001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=0.001						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=1						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=1000.0						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=10000.0						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=100000.0						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
dims=50 task=age kernel=rbf gamma=1e-05 C=1e-05						0.00650170237308						0.00650170237308	0.000157052284231					0.000157052284231	0.000157052284231	0.000157052284231				0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231				0.0019397281129	0.000157052284231	0.000157052284231	0.000157052284231															
