	dims=25 task=gender kernel=rbf gamma=0.0001 C=0.0001	dims=25 task=gender kernel=rbf gamma=0.0001 C=0.001	dims=25 task=gender kernel=rbf gamma=0.0001 C=1	dims=25 task=gender kernel=rbf gamma=0.0001 C=1000.0	dims=25 task=gender kernel=rbf gamma=0.0001 C=10000.0	dims=25 task=gender kernel=rbf gamma=0.0001 C=100000.0	dims=25 task=gender kernel=rbf gamma=0.0001 C=1e-05	dims=25 task=gender kernel=rbf gamma=0.001 C=0.0001	dims=25 task=gender kernel=rbf gamma=0.001 C=0.001	dims=25 task=gender kernel=rbf gamma=0.001 C=1	dims=25 task=gender kernel=rbf gamma=0.001 C=1000.0	dims=25 task=gender kernel=rbf gamma=0.001 C=10000.0	dims=25 task=gender kernel=rbf gamma=0.001 C=100000.0	dims=25 task=gender kernel=rbf gamma=0.001 C=1e-05	dims=25 task=gender kernel=rbf gamma=1 C=0.0001	dims=25 task=gender kernel=rbf gamma=1 C=0.001	dims=25 task=gender kernel=rbf gamma=1 C=1	dims=25 task=gender kernel=rbf gamma=1 C=1000.0	dims=25 task=gender kernel=rbf gamma=1 C=10000.0	dims=25 task=gender kernel=rbf gamma=1 C=100000.0	dims=25 task=gender kernel=rbf gamma=1 C=1e-05	dims=25 task=gender kernel=rbf gamma=1000.0 C=0.0001	dims=25 task=gender kernel=rbf gamma=1000.0 C=0.001	dims=25 task=gender kernel=rbf gamma=1000.0 C=1	dims=25 task=gender kernel=rbf gamma=1000.0 C=1000.0	dims=25 task=gender kernel=rbf gamma=1000.0 C=10000.0	dims=25 task=gender kernel=rbf gamma=1000.0 C=100000.0	dims=25 task=gender kernel=rbf gamma=1000.0 C=1e-05	dims=25 task=gender kernel=rbf gamma=10000.0 C=0.0001	dims=25 task=gender kernel=rbf gamma=10000.0 C=0.001	dims=25 task=gender kernel=rbf gamma=10000.0 C=1	dims=25 task=gender kernel=rbf gamma=10000.0 C=1000.0	dims=25 task=gender kernel=rbf gamma=10000.0 C=10000.0	dims=25 task=gender kernel=rbf gamma=10000.0 C=100000.0	dims=25 task=gender kernel=rbf gamma=10000.0 C=1e-05	dims=25 task=gender kernel=rbf gamma=100000.0 C=0.0001	dims=25 task=gender kernel=rbf gamma=100000.0 C=0.001	dims=25 task=gender kernel=rbf gamma=100000.0 C=1	dims=25 task=gender kernel=rbf gamma=100000.0 C=1000.0	dims=25 task=gender kernel=rbf gamma=100000.0 C=10000.0	dims=25 task=gender kernel=rbf gamma=100000.0 C=100000.0	dims=25 task=gender kernel=rbf gamma=100000.0 C=1e-05	dims=25 task=gender kernel=rbf gamma=1e-05 C=0.0001	dims=25 task=gender kernel=rbf gamma=1e-05 C=0.001	dims=25 task=gender kernel=rbf gamma=1e-05 C=1	dims=25 task=gender kernel=rbf gamma=1e-05 C=1000.0	dims=25 task=gender kernel=rbf gamma=1e-05 C=10000.0	dims=25 task=gender kernel=rbf gamma=1e-05 C=100000.0	dims=25 task=gender kernel=rbf gamma=1e-05 C=1e-05
dims=25 task=gender kernel=rbf gamma=0.001 C=100000.0																			0.00458639208025	0.0155644113866					0.0451545696243	0.0451545696243	0.0451545696243		0.0451545696243	0.0451545696243		0.0211339281292	0.0211339281292	0.0211339281292	0.0451545696243														
dims=25 task=gender kernel=rbf gamma=0.001 C=1e-05																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=1 C=0.0001																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=1 C=0.001																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=1 C=1																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=1 C=1000.0	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052		0.0283655056052	0.0283655056052	0.0283655056052	0.0283655056052		0.0126111440993	0.0412500165939	0.0283655056052											0.0342937210365	0.0342937210365	0.0342937210365		0.0172574560831	0.0172574560831					0.0172574560831	0.0342937210365	0.0342937210365	0.0342937210365	0.0342937210365	0.0342937210365	0.0342937210365	0.0342937210365
dims=25 task=gender kernel=rbf gamma=1 C=10000.0	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00458639208025	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.0126111440993			0.00149887333715	0.0126111440993	0.0126111440993	0.0283655056052				0.0126111440993								0.000768538913163	0.000768538913163	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.000768538913163	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814
dims=25 task=gender kernel=rbf gamma=1 C=100000.0	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0155644113866	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0412500165939			0.0019397281129	0.0342937210365	0.0342937210365					0.0342937210365								0.000246128127905	0.000246128127905	0.0451545696243	0.0451545696243	0.0451545696243	0.0451545696243	0.000246128127905	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814	0.00115204509814
dims=25 task=gender kernel=rbf gamma=1 C=1e-05																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=1000.0 C=0.0001																			0.0126111440993	0.0342937210365												0.0493661947519	0.0493661947519	0.0493661947519															
dims=25 task=gender kernel=rbf gamma=1000.0 C=0.001																			0.0126111440993	0.0342937210365												0.0493661947519	0.0493661947519	0.0493661947519															
dims=25 task=gender kernel=rbf gamma=1000.0 C=1																			0.0283655056052																														
dims=25 task=gender kernel=rbf gamma=1000.0 C=1000.0	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0451545696243	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993				0.0126111440993															0.0155644113866	0.0155644113866					0.0155644113866	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993
dims=25 task=gender kernel=rbf gamma=1000.0 C=10000.0	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0451545696243	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993				0.0126111440993															0.0155644113866	0.0155644113866					0.0155644113866	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993
dims=25 task=gender kernel=rbf gamma=1000.0 C=100000.0	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0451545696243	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993				0.0126111440993															0.0155644113866	0.0155644113866					0.0155644113866	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993
dims=25 task=gender kernel=rbf gamma=1000.0 C=1e-05																			0.0126111440993	0.0342937210365												0.0493661947519	0.0493661947519	0.0493661947519															
dims=25 task=gender kernel=rbf gamma=10000.0 C=0.0001	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.0451545696243	0.014019277114	0.014019277114	0.014019277114	0.014019277114				0.014019277114															0.00515895757072	0.00515895757072					0.00515895757072	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948
dims=25 task=gender kernel=rbf gamma=10000.0 C=0.001	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.0451545696243	0.014019277114	0.014019277114	0.014019277114	0.014019277114				0.014019277114															0.00515895757072	0.00515895757072					0.00515895757072	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948
dims=25 task=gender kernel=rbf gamma=10000.0 C=1	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831		0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831				0.0172574560831															0.010165201892	0.010165201892					0.010165201892	0.010165201892	0.010165201892	0.010165201892	0.010165201892	0.010165201892	0.010165201892	0.010165201892
dims=25 task=gender kernel=rbf gamma=10000.0 C=1000.0	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.0211339281292	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.0342937210365			0.00728455700948	0.0493661947519	0.0493661947519					0.0493661947519								0.00282727209112	0.00282727209112					0.00282727209112	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433
dims=25 task=gender kernel=rbf gamma=10000.0 C=10000.0	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.0211339281292	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.0342937210365			0.00728455700948	0.0493661947519	0.0493661947519					0.0493661947519								0.00282727209112	0.00282727209112					0.00282727209112	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433
dims=25 task=gender kernel=rbf gamma=10000.0 C=100000.0	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.0211339281292	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.0342937210365			0.00728455700948	0.0493661947519	0.0493661947519					0.0493661947519								0.00282727209112	0.00282727209112					0.00282727209112	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433	0.00579535854433
dims=25 task=gender kernel=rbf gamma=10000.0 C=1e-05	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.014019277114	0.0451545696243	0.014019277114	0.014019277114	0.014019277114	0.014019277114				0.014019277114															0.00515895757072	0.00515895757072					0.00515895757072	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948	0.00728455700948
dims=25 task=gender kernel=rbf gamma=100000.0 C=0.0001																		0.0172574560831	0.000768538913163	0.000246128127905					0.0155644113866	0.0155644113866	0.0155644113866		0.00515895757072	0.00515895757072	0.010165201892	0.00282727209112	0.00282727209112	0.00282727209112	0.00515895757072														
